url,desktop_response_time,mobile_response_time,desktop_http_status,mobile_http_status,desktop_title,mobile_title,desktop_description,mobile_description,is_mobile_friendly
https://fampay.in/blog/author/saipremtelkar/,0.2368907928466797,0.2593526840209961,200,200,Sai Prem Telkar - UnRead by FamPay,Sai Prem Telkar - UnRead by FamPay,,,True
https://fampay.in/blog/tag/famsays/page/2/,0.31705427169799805,0.27342772483825684,200,200,FamSays - UnRead by FamPay (Page 2),FamSays - UnRead by FamPay (Page 2),,,True
https://fampay.in/blog/tag/community/,0.3356027603149414,0.28612422943115234,200,200,Community - UnRead by FamPay,Community - UnRead by FamPay,"Recognizing the fashionable, trendy, savvy and entrepreneurial GenZ teens 😎 of India as the next-in-line youth icons. Read our unread blogs to know the latest trends, the hottest scoop, the woke comments and what's buzzing in the lives of GenZ! 📷","Recognizing the fashionable, trendy, savvy and entrepreneurial GenZ teens 😎 of India as the next-in-line youth icons. Read our unread blogs to know the latest trends, the hottest scoop, the woke comments and what's buzzing in the lives of GenZ! 📷",True
https://fampay.in/blog/genz-commits-to-fight-covid-19/,0.25347065925598145,0.2732119560241699,200,200,GenZs commit to fight Covid-19,GenZs commit to fight Covid-19,Second wave of the COVID-19 pandemic has caught everyone off-guard. Here's how FamPay joined hands with their teen community to extend help in times of crisis.,Second wave of the COVID-19 pandemic has caught everyone off-guard. Here's how FamPay joined hands with their teen community to extend help in times of crisis.,True
https://fampay.in/blog/life-of-an-intern-is-love/,0.27567386627197266,0.2594783306121826,200,200,Life of an Intern is Love,Life of an Intern is Love,Life at FamPay is love! Read more on Ayushi Mahendra's testimonial on her life as an Intern at FamPay,Life at FamPay is love! Read more on Ayushi Mahendra's testimonial on her life as an Intern at FamPay,True
https://fampay.in/blog/author/ayushi/,0.25160861015319824,0.25295090675354004,200,200,AYUSHI MAHENDRA - UnRead by FamPay,AYUSHI MAHENDRA - UnRead by FamPay,,,True
https://fampay.in/blog/tag/culture/,0.2981579303741455,0.30467915534973145,200,200,Culture - UnRead by FamPay,Culture - UnRead by FamPay,"Redefining workplace, promoting innovation, and evolving from working for GenZs to working with GenZs! Browse through our collection to learn more about Life at Fam!","Redefining workplace, promoting innovation, and evolving from working for GenZs to working with GenZs! Browse through our collection to learn more about Life at Fam!",True
https://fampay.in/blog/12-queer-led-small-businesses-you-need-to-support-this-pride-month/,0.3364980220794678,0.2848482131958008,200,200,12 Queer-led Small Businesses You Need To Support This Pride Month🌈,12 Queer-led Small Businesses You Need To Support This Pride Month🌈,"The pandemic hasn’t been easy for anyone, especially for our queer folks with small businesses. This is precisely why we think that LGBTQ+-run businesses, stores, and shops need to benefit from Pride Month instead of large corporations capitalizing off rainbows! ‌‌","The pandemic hasn’t been easy for anyone, especially for our queer folks with small businesses. This is precisely why we think that LGBTQ+-run businesses, stores, and shops need to benefit from Pride Month instead of large corporations capitalizing off rainbows! ‌‌",True
https://fampay.in/blog/3-financial-lessons-from-nature-itself/,0.30085039138793945,0.25745582580566406,200,200,3 Financial Lessons from Nature: An Earth Day special 🌍,3 Financial Lessons from Nature: An Earth Day special 🌍,"This Earth Day, FamPay explores the planet's lessons through 3 words we at FamPay and in the Finance industry know best - Compounding, Investing, and Saving.","This Earth Day, FamPay explores the planet's lessons through 3 words we at FamPay and in the Finance industry know best - Compounding, Investing, and Saving.",True
https://fampay.in/blog/living-life-genz-style/,0.2985560894012451,0.3032712936401367,200,200,"Living Life, GenZ Style 😎","Living Life, GenZ Style 😎","Nothing matters more than user satisfaction and user experience, and this is what we are always striving to succeed at.","Nothing matters more than user satisfaction and user experience, and this is what we are always striving to succeed at.",True
